702	1214
1	0
0	

702	5192
1	0
0	

1214	1968
1	0
0	

1214	3470
1	0
0	

1397	702
1	0
0	

1397	1214
2	0
0	0	

1397	1968
2	0
0	0	

1397	2807
4	143857
0	22732	36981	84144	

1397	2836
1	106095
106095	

1397	3470
1	11585
11585	

1397	4020
1	0
0	

1397	5192
2	0
0	0	

1926	1214
1	0
0	

1926	1397
1	8862
8862	

1926	1968
1	0
0	

1926	2807
1	65227
65227	

1926	2836
2	70049
21634	48415	

1926	4020
2	6705
0	6705	

1926	5192
1	0
0	

1968	1214
1	0
0	

2807	1214
1	4611
4611	

2807	1968
1	0
0	

2836	3470
1	0
0	

4020	702
1	9547
9547	

4020	2807
1	0
0	

5192	702
1	0
0	

5192	1214
1	134422
134422	

5192	3470
1	68917
68917	

5192	4020
1	0
0	

5460	702
1	0
0	

5460	1214
1	0
0	

5460	1968
1	0
0	

5460	2807
1	0
0	

5460	2836
1	0
0	

5460	4020
1	0
0	

5460	5192
1	0
0	

