93	1139
1	43131
43131	

93	1665
1	0
0	

93	2169
1	48322
48322	

93	3442
1	18819
18819	

93	4579
1	0
0	

93	4823
1	47533
47533	

149	2250
1	41007
41007	

149	4579
2	37821
0	37821	

647	5051
1	0
0	

1139	149
1	0
0	

1139	647
1	30354
30354	

1139	1206
1	49785
49785	

1206	93
1	35932
35932	

1206	1191
2	96764
34556	62208	

1206	1665
1	0
0	

1206	2081
1	0
0	

1206	3442
1	0
0	

1206	3857
1	86713
86713	

1206	4579
1	55247
55247	

1206	4823
1	0
0	

1665	4058
1	16423
16423	

1665	4579
1	9988
9988	

1665	5051
1	52471
52471	

2037	93
2	212568
61590	150978	

2037	1191
1	0
0	

2037	1206
1	61741
61741	

2037	1665
1	0
0	

2037	3442
1	49169
49169	

2037	4058
1	29729
29729	

2037	4579
1	0
0	

2037	5051
1	0
0	

2081	149
1	0
0	

2081	647
1	25691
25691	

2081	1139
1	36835
36835	

2250	93
1	56355
56355	

2250	1206
1	109849
109849	

2250	1665
1	17609
17609	

3442	93
1	0
0	

3442	647
2	0
0	0	

3442	1191
1	48819
48819	

3442	2081
1	0
0	

3442	4823
1	0
0	

4058	1206
1	76281
76281	

4579	2169
1	3214
3214	

4579	3442
1	88142
88142	

4579	3857
3	684570
6426	61369	616775	

