267	863
2	38707
0	38707	

267	903
3	16211
0	0	16211	

267	1424
1	0
0	

267	1704
1	23238
23238	

267	1820
1	52835
52835	

267	2478
2	1846
0	1846	

267	2865
1	86675
86675	

267	3390
1	30727
30727	

267	4126
1	76870
76870	

416	850
1	13109
13109	

416	1820
1	0
0	

416	2275
1	20729
20729	

416	2478
1	0
0	

416	5130
1	13438
13438	

416	5757
1	52598
52598	

801	14
1	0
0	

801	850
1	0
0	

801	863
1	0
0	

801	903
2	0
0	0	

801	1810
2	37978
0	37978	

801	1820
1	89304
89304	

801	2561
1	7329
7329	

801	4564
1	34501
34501	

801	4656
1	37400
37400	

850	2112
1	15265
15265	

850	2478
2	5300
0	5300	

863	801
1	0
0	

863	4126
1	0
0	

903	267
1	0
0	

903	4126
1	24758
24758	

950	1810
1	93795
93795	

950	2478
1	0
0	

950	2561
1	0
0	

950	2746
1	7497
7497	

950	2806
1	0
0	

950	2865
1	1860
1860	

950	2902
2	0
0	0	

950	3390
1	5686
5686	

950	4126
1	0
0	

950	4293
1	20101
20101	

950	5130
4	95397
0	0	14150	81247	

950	5334
2	20597
0	20597	

950	5757
1	24507
24507	

1424	1471
1	39285
39285	

1424	3072
1	1246103
1246103	

1471	267
1	251740
251740	

1471	1744
1	63305
63305	

1471	5130
1	20244
20244	

1704	1820
1	23465
23465	

1704	2040
1	39097
39097	

1744	2478
1	11476
11476	

1744	2561
1	0
0	

1744	5345
1	35622
35622	

1810	14
1	0
0	

1810	267
2	51642
24563	27079	

1810	2275
1	6459
6459	

1810	2806
1	0
0	

1810	4293
2	46846
0	46846	

1828	1499
1	54318
54318	

1828	1704
1	104490
104490	

1828	2713
1	0
0	

1828	3325
1	7844
7844	

1828	3330
1	57366
57366	

1828	3390
1	56628
56628	

1828	3896
1	4003
4003	

1828	4126
1	262996
262996	

1828	5334
1	83024
83024	

1929	950
1	42102
42102	

1929	1820
1	29658
29658	

1929	5130
1	0
0	

1930	950
1	47129
47129	

1930	1424
1	53000
53000	

1930	1810
1	51740
51740	

1930	2478
2	80934
0	80934	

1930	2865
1	26423
26423	

1930	3155
1	29554
29554	

1930	3325
1	38077
38077	

1930	4126
1	100040
100040	

1930	4293
1	0
0	

1930	4522
1	108237
108237	

1930	5757
1	99589
99589	

2040	267
2	83704
34261	49443	

2040	2478
2	31786
10766	21020	

2040	3390
1	50294
50294	

2040	5334
1	57572
57572	

2040	5338
1	146353
146353	

2112	14
1	0
0	

2112	850
2	42337
15169	27168	

2112	1929
1	45259
45259	

2112	3390
1	0
0	

2112	5345
1	18573
18573	

2275	14
1	10201
10201	

2275	267
2	44202
0	44202	

2275	1199
1	71181
71181	

2275	1668
1	10812
10812	

2275	1810
2	17229
0	17229	

2275	2040
1	0
0	

2275	2746
1	0
0	

2275	3155
1	63925
63925	

2275	4126
1	95876
95876	

2275	5338
3	184332
0	0	184332	

2275	5503
2	42936
10696	32240	

2478	14
1	26640
26640	

2478	267
3	26071
0	2013	24058	

2478	416
1	25387
25387	

2478	850
2	0
0	0	

2478	863
2	0
0	0	

2478	903
2	19005
0	19005	

2478	950
2	83457
0	83457	

2478	1199
1	32125
32125	

2478	1704
2	40419
18599	21820	

2478	1744
1	40176
40176	

2478	1810
3	80834
0	31035	49799	

2478	1820
1	58082
58082	

2478	1929
2	0
0	0	

2478	2112
2	10347
0	10347	

2478	2275
2	59066
11903	47163	

2478	2561
1	9954
9954	

2478	2623
1	0
0	

2478	2746
2	16747
7057	9690	

2478	2806
4	16270
0	0	0	16270	

2478	2902
1	28468
28468	

2478	3072
1	0
0	

2478	3155
2	27227
13356	13871	

2478	3325
3	132247
0	42140	90107	

2478	3330
1	0
0	

2478	3390
3	67428
0	25873	41555	

2478	4095
2	41748
13974	27774	

2478	4126
1	0
0	

2478	4293
3	69026
20071	22698	26257	

2478	4522
2	32192
0	32192	

2478	4564
2	141003
39030	101973	

2478	5130
1	0
0	

2478	5334
2	81346
21538	59808	

2478	5345
3	38923
10855	12045	16023	

2478	5524
1	22707
22707	

2478	5757
2	6127
0	6127	

2561	801
1	10563
10563	

2561	950
1	54331
54331	

2561	3390
1	10500
10500	

2561	3896
1	0
0	

2561	4126
1	19903
19903	

2561	5130
1	61972
61972	

2623	863
1	0
0	

2623	3155
1	0
0	

2623	4095
1	32190
32190	

2623	5130
1	37083
37083	

2713	4656
1	12192
12192	

2713	5130
1	21243
21243	

2713	5334
1	50473
50473	

2746	267
1	17848
17848	

2746	950
1	15586
15586	

2746	3155
1	0
0	

2746	3390
1	0
0	

2806	850
2	55029
0	55029	

2806	863
1	0
0	

2806	903
1	12874
12874	

2806	950
1	7320
7320	

2806	1704
2	29969
5316	24653	

2806	1810
2	122382
34676	87706	

2806	1820
3	228452
2545	9602	216305	

2806	1929
1	13008
13008	

2806	2112
2	28360
11425	16935	

2806	2275
4	96522
16956	22543	27434	29589	

2806	2478
1	0
0	

2806	2561
1	13544
13544	

2806	2623
1	92190
92190	

2806	2746
1	3480
3480	

2806	3155
1	7222
7222	

2806	3325
3	112843
29593	40405	42845	

2806	4095
1	56900
56900	

2806	4522
2	96713
45092	51621	

2806	4564
2	20437
0	20437	

2806	5757
3	54998
0	21073	33925	

2865	1424
1	40808
40808	

2865	1704
1	50035
50035	

2865	3390
1	21190
21190	

2865	4426
1	0
0	

2865	5338
1	0
0	

2902	2561
1	8413
8413	

3072	267
2	17869
6849	11020	

3072	801
1	0
0	

3072	903
1	21487
21487	

3072	950
2	13183
0	13183	

3072	1668
1	25611
25611	

3072	1704
1	29453
29453	

3072	1810
2	126376
59906	66470	

3072	1828
2	16836
7550	9286	

3072	1929
1	25976
25976	

3072	2040
7	345465
0	9928	37649	42271	62320	62952	130345	

3072	2112
1	98250
98250	

3072	2275
2	42548
0	42548	

3072	2478
12	332634
0	0	0	6119	14488	18307	22021	24845	29078	32359	87091	98326	

3072	2561
5	46647
0	0	9196	16568	20883	

3072	2713
2	16215
3840	12375	

3072	2806
1	22857
22857	

3072	3155
4	122930
0	13624	41580	67726	

3072	3325
16	1013297
0	0	11013	11693	12179	13530	33246	34491	49430	49644	56924	98389	113323	126558	131846	271031	

3072	3330
2	57767
4225	53542	

3072	3390
6	412485
0	0	25647	33033	39389	314416	

3072	4126
2	235175
0	235175	

3072	4522
5	392333
13612	18690	29489	145661	184881	

3072	4564
1	47862
47862	

3072	4656
1	24635
24635	

3072	5334
2	30389
0	30389	

3072	5338
1	0
0	

3072	5345
1	21048
21048	

3072	5757
3	291223
23176	123044	145003	

3155	950
1	93605
93605	

3155	1424
1	28198
28198	

3155	1744
1	127373
127373	

3155	2112
1	22559
22559	

3155	2478
1	0
0	

3155	2561
1	24509
24509	

3155	2865
1	100157
100157	

3155	3072
1	1203695
1203695	

3155	3325
1	131741
131741	

3155	4426
1	66909
66909	

3155	5130
2	97482
0	97482	

3155	5334
1	100409
100409	

3155	5345
3	9945
0	0	9945	

3155	5503
1	0
0	

3155	5757
1	77399
77399	

3325	267
1	22799
22799	

3325	850
2	14671
0	14671	

3325	903
1	0
0	

3325	950
3	61071
0	19068	42003	

3325	1704
1	17003
17003	

3325	1810
3	76024
15298	24553	36173	

3325	1828
1	0
0	

3325	2040
6	167204
0	4862	12261	23811	27220	99050	

3325	2112
2	774392
234833	539559	

3325	2275
3	74629
14777	24434	35418	

3325	2478
5	46419
0	0	0	6153	40266	

3325	2561
2	0
0	0	

3325	2713
2	17571
0	17571	

3325	2746
1	2763
2763	

3325	2806
1	75072
75072	

3325	2902
1	28816
28816	

3325	3155
1	41850
41850	

3325	3330
1	101102
101102	

3325	3390
3	108592
8279	39635	60678	

3325	4095
1	57520
57520	

3325	4126
3	217908
0	20590	197318	

3325	4293
1	157489
157489	

3325	4522
2	126140
26729	99411	

3325	4564
1	49608
49608	

3325	4656
1	16927
16927	

3325	5130
2	62750
15555	47195	

3325	5334
3	199633
12601	48823	138209	

3325	5338
3	37822
0	10216	27606	

3325	5345
2	17788
8827	8961	

3325	5524
2	39291
12522	26769	

3325	5757
5	152124
6011	21252	21873	35290	67698	

3330	5345
1	17713
17713	

3390	267
1	0
0	

3390	903
1	11022
11022	

3390	950
1	30157
30157	

3390	1810
1	13501
13501	

3390	2478
2	17392
0	17392	

3390	2746
1	40181
40181	

3390	3072
1	18581
18581	

3390	3325
8	492259
14608	22776	29757	47765	51151	61148	77046	188008	

3390	4126
2	93628
17238	76390	

3390	5757
1	76456
76456	

3896	5130
1	37205
37205	

4095	1810
1	0
0	

4095	3155
1	0
0	

4126	14
2	51368
4543	46825	

4126	903
1	38142
38142	

4126	1424
1	25067
25067	

4126	3072
1	5088
5088	

4126	4656
1	49698
49698	

4293	2478
1	0
0	

4426	3072
1	965177
965177	

4426	5338
1	11612
11612	

4522	14
1	49271
49271	

4522	267
1	236265
236265	

4522	850
3	4373
0	0	4373	

4522	1810
1	0
0	

4522	2040
2	69230
5094	64136	

4522	2478
1	0
0	

4522	3390
1	10091
10091	

5130	2806
1	20031
20031	

5130	2902
1	20483
20483	

5130	3155
1	29341
29341	

5130	4095
1	9322
9322	

5338	1199
3	267542
51310	107148	109084	

5338	1828
1	36124
36124	

5345	4126
1	85490
85490	

5524	3155
1	38558
38558	

5524	5345
8	467883
19241	28567	30067	43743	50971	51113	101785	142396	

5757	801
1	31165
31165	

5757	850
1	0
0	

5757	1499
1	8383
8383	

5757	1810
2	29496
0	29496	

5757	1820
1	126637
126637	

5757	2040
1	4560
4560	

5757	2112
1	42492
42492	

5757	2561
1	0
0	

5757	2902
1	0
0	

5757	3155
1	15600
15600	

5757	3896
1	0
0	

5757	4095
1	6569
6569	

5757	4656
1	32497
32497	

