600	4240
1	60540
60540	

600	5005
1	0
0	

600	5215
1	0
0	

1755	2402
1	0
0	

1755	4240
1	19411
19411	

1755	5005
1	0
0	

1755	5215
1	0
0	

2402	600
1	88001
88001	

2402	1755
1	31717
31717	

2402	4240
2	54716
25317	29399	

2402	5005
4	54221
0	9675	20878	23668	

2402	5145
2	37233
18263	18970	

2402	5215
1	0
0	

3466	131
1	266988
266988	

3466	1201
1	0
0	

3466	2402
1	0
0	

3466	4240
2	172017
27114	144903	

3466	5005
1	4406
4406	

3466	5215
1	0
0	

4240	1201
2	5144
0	5144	

4240	2402
1	0
0	

4240	3466
1	47969
47969	

4240	5005
1	0
0	

4240	5145
2	45746
18514	27232	

4240	5215
1	0
0	

5005	131
1	34044
34044	

5005	1755
2	373484
38430	335054	

5005	2402
1	0
0	

5005	4240
2	55128
24665	30463	

5005	5145
3	69047
20087	22758	26202	

5005	5215
1	0
0	

5145	600
1	185061
185061	

5145	1755
1	205951
205951	

5145	2402
1	0
0	

5145	3466
1	234596
234596	

5145	5005
2	8704
0	8704	

5145	5215
1	0
0	

5215	600
1	299793
299793	

5215	1201
1	0
0	

5215	1755
1	26432
26432	

5215	2402
1	18663
18663	

5215	4240
2	168162
71254	96908	

5215	5005
7	82049
5243	7172	8676	11473	12123	18456	18906	

