4	744
1	0
0	

4	3819
1	0
0	

4	4548
1	34039
34039	

4	4611
1	0
0	

4	5432
1	0
0	

13	3396
1	12611
12611	

13	4418
1	73813
73813	

16	4303
1	251807
251807	

16	5526
1	113413
113413	

19	13
1	5602
5602	

19	236
1	144106
144106	

19	1225
1	0
0	

19	1356
1	0
0	

19	1564
1	16585
16585	

19	2287
1	0
0	

19	3505
1	0
0	

19	4418
1	0
0	

19	4923
1	93044
93044	

19	5663
2	0
0	0	

20	100
1	18646
18646	

20	1103
1	68765
68765	

20	1353
1	0
0	

20	1550
1	0
0	

20	2033
1	56871
56871	

20	2054
1	0
0	

20	2456
5	105352
0	0	6655	27918	70779	

20	2552
3	386215
95889	107906	182420	

20	3080
1	168267
168267	

20	3383
1	72392
72392	

20	3648
1	19470
19470	

20	3716
2	235703
0	235703	

20	3734
1	0
0	

20	4160
1	87510
87510	

20	4520
1	0
0	

20	4632
1	127069
127069	

20	5426
1	140086
140086	

28	4538
1	87508
87508	

28	4704
1	0
0	

28	4923
1	0
0	

28	5102
1	0
0	

28	5282
1	25579
25579	

35	38
1	0
0	

35	1506
1	0
0	

35	2813
1	930
930	

35	3944
1	0
0	

35	4205
1	1324
1324	

38	934
1	66370
66370	

38	1356
7	491083
0	26609	55398	83444	90326	103509	131797	

38	1807
1	10454
10454	

38	2813
2	0
0	0	

50	687
1	0
0	

50	2011
1	132586
132586	

50	2611
1	60520
60520	

50	3010
3	401626
19314	173861	208451	

50	3074
7	10838
0	0	0	0	0	0	10838	

50	4307
4	0
0	0	0	0	

50	5025
2	0
0	0	

50	5222
1	0
0	

51	113
1	71593
71593	

51	369
1	11699
11699	

51	481
2	40123
0	40123	

51	513
1	88942
88942	

51	549
1	172809
172809	

51	590
1	80632
80632	

51	751
1	32062
32062	

51	918
2	116911
0	116911	

51	930
1	5983
5983	

51	1010
3	0
0	0	0	

51	1255
1	37679
37679	

51	1319
1	0
0	

51	1386
1	43837
43837	

51	1764
1	0
0	

51	2023
1	23188
23188	

51	2053
1	0
0	

51	2227
1	3819
3819	

51	2505
2	154454
18232	136222	

51	2612
1	0
0	

51	2618
2	69121
33225	35896	

51	2854
1	13397
13397	

51	2926
3	73295
0	18084	55211	

51	3068
1	0
0	

51	3084
2	54381
0	54381	

51	3093
1	55318
55318	

51	3177
1	0
0	

51	3356
1	37613
37613	

51	3412
1	27367
27367	

51	3472
3	94512
18470	37288	38754	

51	3555
1	0
0	

51	3583
1	83893
83893	

51	4212
1	3429
3429	

51	4319
1	21151
21151	

51	4406
1	49673
49673	

51	4408
1	26251
26251	

51	4421
2	97380
48289	49091	

51	4735
1	48054
48054	

51	4891
1	72959
72959	

51	5125
1	42646
42646	

51	5372
4	184268
0	30151	47216	106901	

51	5399
1	12212
12212	

51	5403
1	65541
65541	

51	5425
1	131962
131962	

57	228
1	41411
41411	

57	245
3	36801
0	0	36801	

57	338
1	0
0	

57	363
3	42481
0	11297	31184	

57	553
1	0
0	

57	622
2	7468
0	7468	

57	886
2	35958
0	35958	

57	917
1	67220
67220	

57	1007
1	0
0	

57	1226
2	50273
0	50273	

57	1349
1	76824
76824	

57	1464
1	23189
23189	

57	1710
2	46574
0	46574	

57	1740
1	61802
61802	

57	1859
1	0
0	

57	1867
1	0
0	

57	2145
1	0
0	

57	2170
1	2379
2379	

57	3068
1	0
0	

57	3174
1	0
0	

57	3316
1	23558
23558	

57	3529
1	9172
9172	

57	3555
1	0
0	

57	3703
2	56833
0	56833	

57	3742
1	58079
58079	

57	4406
1	49363
49363	

57	4878
1	53343
53343	

57	5147
1	56067
56067	

57	5341
2	58158
0	58158	

59	401
1	13381
13381	

59	4123
1	16976
16976	

61	336
1	32622
32622	

61	734
1	29937
29937	

61	1350
1	14743
14743	

61	2446
1	9022
9022	

61	2908
1	14744
14744	

61	3289
1	8890
8890	

61	4159
1	5007
5007	

61	4270
1	45070
45070	

61	4983
1	20973
20973	

72	2856
1	45680
45680	

73	1330
1	132654
132654	

73	2754
1	15596
15596	

73	4256
2	0
0	0	

91	678
1	22300
22300	

97	407
1	112261
112261	

97	438
1	98679
98679	

97	590
1	131613
131613	

97	751
1	112053
112053	

97	892
1	176752
176752	

97	1940
1	0
0	

97	2145
1	219251
219251	

97	2221
1	20025
20025	

97	2854
1	80856
80856	

97	3555
1	92793
92793	

97	3684
1	246332
246332	

97	3886
1	115248
115248	

97	4144
1	470630
470630	

97	4243
1	319882
319882	

97	4314
1	94907
94907	

97	4718
1	98651
98651	

97	5147
1	0
0	

97	5196
1	99678
99678	

97	5207
1	173862
173862	

116	185
4	0
0	0	0	0	

116	542
1	0
0	

116	1044
1	40507
40507	

116	2233
1	2059
2059	

116	2797
1	182745
182745	

116	3671
1	80737
80737	

116	3819
1	69781
69781	

116	4317
1	0
0	

116	4548
1	20329
20329	

116	5235
1	6774
6774	

117	448
2	45206
3762	41444	

117	1210
2	61624
21928	39696	

117	2745
2	41569
15186	26383	

117	3915
1	0
0	

128	1227
1	0
0	

128	2840
1	0
0	

128	3742
1	0
0	

128	5405
1	0
0	

141	84
1	0
0	

141	170
2	0
0	0	

141	208
3	34989
